time_entry,time_exit,symbol,side,entry,exit,pnl_pct,reason,profile_run,risk_perc_run,R_multiple,account_pnl_pct,account_pnl_usd,equity_before,equity_after,qty,notional_usd,time_limit_applied,time_limit_minutes,unrealized_pct_at_90m,be_armed,leg,leg_fraction
2025-08-18 23:54:59,2025-08-19 01:24:59,ETHUSDT,LONG,4314.940000,4325.020000,0.2336,ExitD_TimeMax_Profit,SAFE,100.00,0.0389,3.8934,2721.92,69910.12,72632.04,270.031268,1165168.72,True,90,,False,FULL,1.00
2025-08-19 01:25:59,2025-08-19 02:55:59,ETHUSDT,LONG,4325.280000,4325.280000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,72632.04,72632.04,279.874129,1210533.97,True,90,,False,FULL,1.00
2025-08-19 02:56:59,2025-08-19 04:26:59,ETHUSDT,LONG,4289.610000,4289.610000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,72632.04,72632.04,282.201406,1210533.97,True,90,,False,FULL,1.00
2025-08-19 04:27:59,2025-08-19 05:57:59,ETHUSDT,LONG,4206.600000,4232.210000,0.6088,ExitD_TimeMax_Profit,SAFE,100.00,0.1015,10.1468,7369.79,72632.04,80001.83,287.770164,1210533.97,True,90,,False,FULL,1.00
2025-08-19 05:58:59,2025-08-19 07:28:59,ETHUSDT,LONG,4229.790000,4229.790000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,80001.83,80001.83,315.231695,1333363.87,True,90,,False,FULL,1.00
2025-08-19 07:29:59,2025-08-19 08:59:59,ETHUSDT,LONG,4219.500000,4255.900000,0.8627,ExitD_TimeMax_Profit,SAFE,100.00,0.1438,14.3777,11502.42,80001.83,91504.25,316.000443,1333363.87,True,90,,False,FULL,1.00
2025-08-19 09:00:59,2025-08-19 10:30:59,ETHUSDT,LONG,4257.580000,4289.840000,0.7577,ExitD_TimeMax_Profit,SAFE,100.00,0.1263,12.6285,11555.57,91504.25,103059.82,358.201327,1525070.80,True,90,,False,FULL,1.00
2025-08-19 10:31:59,2025-08-19 12:01:59,ETHUSDT,LONG,4287.320000,4305.160000,0.4161,ExitD_TimeMax_Profit,SAFE,100.00,0.0694,6.9352,7147.38,103059.82,110207.21,400.638095,1717663.72,True,90,,False,FULL,1.00
2025-08-19 12:02:59,2025-08-19 13:33:59,ETHUSDT,LONG,4306.340000,4306.340000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,110207.21,110207.21,426.530831,1836786.78,True,90,,False,FULL,1.00
2025-08-19 13:34:59,2025-08-19 15:04:59,ETHUSDT,LONG,4304.970000,4304.970000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,110207.21,110207.21,426.666569,1836786.78,True,90,,False,FULL,1.00
